"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","1uF","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","1000uF 50V","Capacitor_THT:C_Radial_D12.5mm_H25.0mm_P5.00mm","1",""
"J1","USB-C_PANEL_XH6","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J2","SPEAKER_4R","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J3","DEBUG_UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1","5.1k","Resistor_SMD:R_0402_1005Metric","1",""
"R2","5.1k","Resistor_SMD:R_0402_1005Metric","1",""
"R3","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R4","100k","Resistor_SMD:R_0402_1005Metric","1",""
"SW1","BOOT","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","1",""
"SW2","RST","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","1",""
"U1","ESP32-S3-WROOM-1-N8R2","RF_Module:ESP32-S3-WROOM-1","1",""
"U2","","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","1",""
"U3","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
